name,elo
Theo,2009.685059
Isaac,1929.54238
Amanda,1907.645325
Josh,1904.610217
Lana,1834.715783
Yeison,1825.159758
Jordan,1810.846199
Vanessa,1762.743357
Mikaila,1761.881996
Justin,1686.763582
Vince,1685.397363
Ivan,1654.40336
Christopher,1648.877543
Jocelyn,1627.458046
Josiah,1619.56609
Coach,1546.935013
Jonathanhuang,1541.526016
Sydney,1531.271764
Kelly,1513.50109
Renee,1499.091595
Zhengxian,1497.88444
Andrew,1473.099327
Lawrence,1451.458693
Lily,1442.995564
Eric,1440.877754
James,1419.877037
Jessye,1413.391248
Anson,1387.082086
Dari,1351.362659
Gio,1346.268157
Eddy,1343.734265
Peilin,1336.457022
Johnathanhuynh,1319.090291
Isabella,1312.817843
Charlie,1311.331235
Jerry,1276.163375
Decheng,1246.726644
Lexi,1241.196095
Leanne,1229.822362
Ryan,1226.192859
Irene,1216.098828
Sunny,1197.307782
Jason,1192.751631
Yvonne,1179.125445
Serenam,1176.749896
Evan,1171.070846
Winnie,1128.39078
Serenac,1108.788491
Kelvin,991.8571524
Eduardo,944.9747107
Ziyue,929.688821
Wenbin,917.842647
Alyssa,838.0401905
Fred,837.0858912
Ngoc,800.7764005
